#separator:tab
#html:true
#notetype:Basic
#deck:Databricks Learner
#columns:Front	Back	Tags
#tags column:3
A data engineer uses Auto Loader to ingest JSON files from cloud storage into a Unity Catalog Delta table. New source files sometimes contain additional columns not seen before. Which configuration correctly enables automatic schema evolution?<br><br><b>A.</b> .option(&#x27;cloudFiles.schemaEvolutionMode&#x27;, &#x27;none&#x27;).option(&#x27;cloudFiles.schemaLocation&#x27;, &#x27;/mnt/schema&#x27;)<br><b>B.</b> .option(&#x27;cloudFiles.schemaLocation&#x27;, &#x27;/mnt/schema&#x27;).option(&#x27;cloudFiles.schemaEvolutionMode&#x27;, &#x27;addNewColumns&#x27;)<br><b>C.</b> .option(&#x27;cloudFiles.inferSchema&#x27;, &#x27;true&#x27;).option(&#x27;cloudFiles.schemaEvolution&#x27;, &#x27;true&#x27;)<br><b>D.</b> .option(&#x27;cloudFiles.schemaLocation&#x27;, &#x27;/mnt/schema&#x27;)	<b>Answer: B</b><br><br>Auto Loader requires &#x27;cloudFiles.schemaLocation&#x27; (to persist the inferred schema) AND &#x27;cloudFiles.schemaEvolutionMode&#x27; set to &#x27;addNewColumns&#x27; to automatically merge new columns from incoming files. Option A disables evolution. Option C uses non-existent options. Option D stores the schema but does not configure evolution behaviour.	topic::Data_Ingestion_and_Loading subtopic::Auto_Loader source::sample
A data engineer runs a daily job that uses COPY INTO to load new CSV files from an S3 path into a Delta table. On day two, only the newly arrived files should be loaded. What is the default behaviour of COPY INTO that enables this?<br><br><b>A.</b> COPY INTO tracks a watermark timestamp and only loads files modified after the last run.<br><b>B.</b> COPY INTO is idempotent and maintains a log of already-loaded files, skipping them on subsequent runs.<br><b>C.</b> COPY INTO requires a MERGE statement to deduplicate rows after each load.<br><b>D.</b> COPY INTO automatically partitions files by date and only processes the current day&#x27;s partition.	<b>Answer: B</b><br><br>COPY INTO is idempotent: Databricks internally tracks which files have already been loaded. Re-running the same COPY INTO command skips previously ingested files and only processes new ones. It does not use watermarks, and no additional MERGE is required for incremental loading.	topic::Data_Ingestion_and_Loading subtopic::COPY_INTO_command source::sample
A data engineer joins a large transactions table (500 million rows) with a small currency_rates lookup table (200 rows). Which join strategy minimises shuffle and gives the best performance?<br><br><b>A.</b> Sort-merge join, because it handles large datasets most efficiently.<br><b>B.</b> Cross join, because it guarantees every currency rate is matched.<br><b>C.</b> Broadcast join by broadcasting currency_rates, because the small table fits in memory on each executor.<br><b>D.</b> Left join, because it avoids dropping unmatched rows from transactions.	<b>Answer: C</b><br><br>A broadcast join (hint: broadcast()) sends the small table to every executor, eliminating the expensive shuffle that a sort-merge join requires. Broadcast joins are ideal when one side is small enough to fit in memory (controlled by spark.sql.autoBroadcastJoinThreshold, default 10 MB). Cross join and left join describe join semantics, not performance strategies.	topic::Data_Transformation_and_Modeling subtopic::DataFrame_joins source::sample
A data engineer needs to compute the total sales amount and the number of distinct customers per region from a DataFrame sales_df with columns: region, customer_id, amount. Which PySpark code is correct?<br><br><b>A.</b> sales_df.groupBy(&#x27;region&#x27;).agg(sum(&#x27;amount&#x27;).alias(&#x27;total_sales&#x27;), count(&#x27;customer_id&#x27;).alias(&#x27;unique_customers&#x27;))<br><b>B.</b> sales_df.groupBy(&#x27;region&#x27;).agg(sum(&#x27;amount&#x27;).alias(&#x27;total_sales&#x27;), countDistinct(&#x27;customer_id&#x27;).alias(&#x27;unique_customers&#x27;))<br><b>C.</b> sales_df.groupBy(&#x27;region&#x27;).agg(sum(&#x27;amount&#x27;).alias(&#x27;total_sales&#x27;), approx_count_distinct(&#x27;amount&#x27;).alias(&#x27;unique_customers&#x27;))<br><b>D.</b> sales_df.groupBy(&#x27;region&#x27;).agg(collect_set(&#x27;amount&#x27;).alias(&#x27;total_sales&#x27;), countDistinct(&#x27;customer_id&#x27;).alias(&#x27;unique_customers&#x27;))	<b>Answer: B</b><br><br>countDistinct(&#x27;customer_id&#x27;) counts unique customer IDs per group, which is the correct function. count() in option A counts all rows (including duplicates). approx_count_distinct() in option C approximates distinctness and is applied to the wrong column. collect_set() in option D returns a set, not a sum.	topic::Data_Transformation_and_Modeling subtopic::Deduplication_and_aggregation source::sample
A pipeline must process new data as soon as it lands in an S3 bucket, rather than on a fixed time schedule. Which Lakeflow Jobs trigger type should the data engineer configure?<br><br><b>A.</b> Scheduled trigger with a 1-minute cron expression.<br><b>B.</b> File arrival trigger pointing to the S3 path.<br><b>C.</b> Table update trigger on the source Delta table.<br><b>D.</b> Continuous trigger with micro-batch intervals.	<b>Answer: B</b><br><br>A file arrival trigger monitors a cloud storage location and automatically starts a job run when new files appear. This is more efficient than a 1-minute cron (option A) because it reacts immediately and avoids unnecessary runs when no data arrives. Table update triggers (option C) watch Delta tables, not object storage. Continuous triggers (option D) are a Spark Structured Streaming concept, not a Lakeflow Jobs trigger type.	topic::Working_with_Lakeflow_Jobs subtopic::Job_schedules_and_trigger_types source::sample
A data engineer drops a managed table in Unity Catalog. A colleague then drops an external table. What happens to the underlying data files in each case?<br><br><b>A.</b> Both managed and external table data files are deleted when the table is dropped.<br><b>B.</b> Managed table files are deleted; external table files remain in their storage location.<br><b>C.</b> External table files are deleted; managed table files are moved to a recycle bin.<br><b>D.</b> Neither table&#x27;s data files are deleted; only the metadata is removed.	<b>Answer: B</b><br><br>For managed tables, Unity Catalog controls the data lifecycle: dropping the table deletes both the metadata and the underlying data files. For external tables, Unity Catalog only manages the metadata; the data files remain in the user-specified storage location after the table is dropped.	topic::Governance_and_Security subtopic::Managed_vs_external_tables source::sample
A data engineer needs to give the analyst group SELECT access to all current and future tables in the schema sales_data. The group already has USE CATALOG and USE SCHEMA privileges. Which SQL command achieves this?<br><br><b>A.</b> GRANT ALL PRIVILEGES ON SCHEMA sales_data TO analysts;<br><b>B.</b> GRANT SELECT ON ALL TABLES IN SCHEMA sales_data TO analysts;<br><b>C.</b> GRANT SELECT ON SCHEMA sales_data TO analysts;<br><b>D.</b> GRANT READ ON SCHEMA sales_data TO analysts;	<b>Answer: C</b><br><br>GRANT SELECT ON SCHEMA grants SELECT on all tables within the schema, including future tables. Option B (GRANT SELECT ON ALL TABLES IN SCHEMA) only grants access to tables that exist at the time the command is run — it does not cover future tables. Option A grants too many privileges. Option D uses an invalid privilege name (READ is not a valid Unity Catalog privilege).	topic::Governance_and_Security subtopic::Access_controls_GRANT_REVOKE_DENY source::sample
A team runs ad-hoc exploratory queries that require a cluster to start quickly without manual configuration. They want Databricks to manage the infrastructure automatically. Which compute option best fits this use case?<br><br><b>A.</b> A single-node cluster with a fixed instance type chosen by the team.<br><b>B.</b> A job cluster that is created fresh for each job run.<br><b>C.</b> Serverless compute, which is fully managed by Databricks with instant startup.<br><b>D.</b> A high-concurrency all-purpose cluster shared across all team members.	<b>Answer: C</b><br><br>Serverless compute is managed entirely by Databricks, starts nearly instantly, and requires no infrastructure configuration. It is ideal for ad-hoc interactive workloads where quick startup and hands-off management are the priorities. Job clusters (option B) are optimised for scheduled jobs but still require some configuration. Shared clusters (option D) require manual setup and management.	topic::Databricks_Intelligence_Platform subtopic::Compute_services source::sample
A data engineer uses Databricks Asset Bundles (DABs) to deploy a pipeline across dev, test, and prod environments. Each environment uses a different catalog name. How should the engineer handle this environment-specific configuration?<br><br><b>A.</b> Create a separate databricks.yml file for each environment with hard-coded catalog names.<br><b>B.</b> Use DAB variables with environment-specific overrides in the targets block of databricks.yml.<br><b>C.</b> Deploy the same notebook to all environments and use a Python if-else block to detect the environment at runtime.<br><b>D.</b> Store the catalog name in a Delta table and read it at job start time.	<b>Answer: B</b><br><br>DABs support variables and per-target overrides in databricks.yml. A single codebase can define a variable (e.g., ${var.catalog}) and override its value per target (dev, test, prod). This avoids duplication (option A) and runtime detection hacks (options C and D), which are fragile and hard to audit.	topic::Implementing_CI_CD subtopic::Automation_Bundle_DABs source::sample
A data engineer notices that a Spark job&#x27;s stage takes much longer than expected. In the Spark UI, most tasks complete in 2 seconds but a few tasks take over 5 minutes. What is the most likely cause?<br><br><b>A.</b> Disk spilling caused by insufficient executor memory for sorting.<br><b>B.</b> Data skew, where a few partition keys contain significantly more data than others.<br><b>C.</b> Too many shuffle partitions causing excessive task overhead.<br><b>D.</b> Driver out-of-memory error causing task retries.	<b>Answer: B</b><br><br>When most tasks finish quickly but a few stragglers take much longer, this is the classic signature of data skew — certain partition keys have far more rows than others, causing a few tasks to process disproportionately large amounts of data. Disk spilling (option A) would slow most tasks. Too many partitions (option C) cause many short tasks, not a few long ones. Driver OOM (option D) would fail the job, not create stragglers.	topic::Troubleshooting_Monitoring_and_Optimization subtopic::Spark_UI_bottlenecks source::sample
A data engineer has authored a Databricks Asset Bundle that defines two targets, `dev` and `prod`, in `databricks.yml`. After running `databricks bundle deploy` without any flags from the project root, the engineer notices that the resources were deployed to the `dev` workspace. Why did this happen?<br><br><b>A.</b> DABs always deploy to the first target listed in the YAML file.<br><b>B.</b> The `dev` target is configured with `mode: development` and is set as the default target.<br><b>C.</b> `databricks bundle deploy` only deploys to non-production targets unless `--force` is supplied.<br><b>D.</b> The active Databricks CLI profile automatically determines the target, and the profile pointed to dev.	<b>Answer: B</b><br><br>When no `--target` flag is supplied, DABs use the target marked as default in `databricks.yml` (typically `dev` with `mode: development`, which also prefixes resources with the developer&#x27;s username to isolate dev work). A is wrong — order in the file does not determine the default. C is invented — there is no production-protection flag like that on `deploy`. D is wrong — the CLI profile controls *which workspace* the bundle authenticates to, not which target is selected; target selection comes from `databricks.yml`, not the profile.	topic::Implementing_CI_CD subtopic::Automation_Bundle_DABs source::ai
